fname,fnum,cumulative_nv,cnv_change_6m,unit_nv,unit_nv_change,pnv_change_1m,npv_thisy,class,risk,founded_date,scale,management,manager,fee,mmin_amount,rank_1y
财通鸿运中短债债券A,006799,4.88%,2.68%,1.0488,0.02%,0.67%,0.99%,债券型,中低风险,2019-01-21,2.08亿元（2019-12-31）,财通资管,宫志芳,0.04%,100元起购,1513 | 2105
天弘弘丰增强回报债券A,006898,5.53%,4.09%,1.0553,-0.05%,0.87%,1.61%,债券型,中风险,2019-03-20,2.13亿元（2019-12-31）,天弘基金,陈国光,0.80%,100元起购,728 | 2105
新华纯债添利债券发起C,519153,47.20%,1.99%,1.178,0.00%,0.43%,0.68%,债券型,中低风险,2012-12-21,14.61亿元（2019-12-31）,新华基金,于泽雨,0.00%,100元起购,1839 | 2105
平安短债A,005754,8.05%,1.90%,1.0598,0.02%,0.50%,0.76%,债券型,中低风险,2018-05-16,92.13亿元（2019-12-31）,平安基金,段玮婧,0.03%,100元起购,1782 | 2105
财通资管鸿达纯债C,005308,8.52%,2.33%,1.068,0.01%,0.69%,1.08%,债券型,中低风险,2018-01-24,2.43亿元（2019-12-31）,财通资管,宫志芳,0.00%,100元起购,1406 | 2105
广发增强债券,270009,88.83%,2.22%,1.198,0.00%,0.84%,1.27%,债券型,中风险,2008-03-27,10.08亿元（2019-12-31）,广发基金,谢军,0.00%,10元起购,1168 | 2105
招商金鸿债券A,006332,7.95%,2.94%,1.0795,-0.07%,1.02%,1.49%,债券型,中低风险,2018-11-02,0.85亿元（2019-12-31）,招商基金,马龙,0.08%,100元起购,890 | 2105
景顺长城景兴信用纯债债券C,000253,33.99%,1.60%,1.206,0.08%,0.67%,0.92%,债券型,中低风险,2013-08-26,0.06亿元（2019-12-31）,景顺长城基金,何江波,0.00%,100元起购,1611 | 2105
国泰民安增利债券A,020033,56.93%,1.83%,1.0869,0.01%,0.43%,0.63%,债券型,中风险,2012-12-26,0.13亿元（2019-12-31）,国泰基金,韩哲昊,0.08%,100元起购,1883 | 2105
新华纯债添利债券发起A,519152,51.07%,2.12%,1.207,0.00%,0.42%,0.67%,债券型,中低风险,2012-12-21,23.11亿元（2019-12-31）,新华基金,于泽雨,0.08%,100元起购,1854 | 2105
中信保诚至泰中短债债券A,004155,8.63%,1.96%,1.0863,0.01%,0.59%,0.87%,债券型,中低风险,2017-06-06,0.29亿元（2019-12-31）,中信保诚基金,席行懿,0.08%,100元起购,1680 | 2105
招商招轩纯债C,003372,13.99%,1.75%,1.0888,0.01%,0.44%,0.69%,债券型,中低风险,2016-10-26,0.00亿元（2019-12-31）,招商基金,马龙,0.00%,100元起购,1833 | 2105
